,Date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,current_ventilator_patients,Date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered
179,2021-01-18,AR,444,258898,0,99,42242,0,0,2021-01-18,AR,1438,33324,2,11,1440,33335
180,2021-01-25,AR,475,261936,0,82,42828,0,0,2021-01-25,AR,14,5417730,20,4620229,34,10037959
181,2021-01-25,AR,475,261936,0,82,42828,0,0,2021-01-25,AR,7934,5235712,23376,4211100,31310,9446812
182,2021-01-25,AR,475,261936,0,82,42828,0,0,2021-01-25,AR,35599,4788104,16951,3678984,52550,8467088
183,2021-01-25,AR,475,261936,0,82,42828,0,0,2021-01-25,AR,4305,4228084,13224,3111016,17529,7339100
184,2021-01-25,AR,475,261936,0,82,42828,0,0,2021-01-25,AR,10450,3993690,49431,1938994,59881,5932684
185,2021-01-25,AR,475,261936,0,82,42828,0,0,2021-01-25,AR,17699,3465428,1261,869925,18960,4335353
186,2021-01-25,AR,475,261936,0,82,42828,0,0,2021-01-25,AR,42912,2292365,9505,571165,52417,2863530
187,2021-01-25,AR,475,261936,0,82,42828,0,0,2021-01-25,AR,5603,1302222,3597,361116,9200,1663338
188,2021-01-25,AR,475,261936,0,82,42828,0,0,2021-01-25,AR,6850,943069,27,127641,6877,1070710
189,2021-01-25,AR,475,261936,0,82,42828,0,0,2021-01-25,AR,13022,415081,2280,94595,15302,509676
190,2021-01-25,AR,475,261936,0,82,42828,0,0,2021-01-25,AR,9295,121099,1520,41201,10815,162300
191,2021-01-25,AR,475,261936,0,82,42828,0,0,2021-01-25,AR,1059,37972,1032,5974,2091,43946
192,2021-01-18,AR,477,271625,0,84,44656,0,0,2021-01-18,AR,3064,5389375,7814,4559723,10878,9949098
193,2021-01-18,AR,477,271625,0,84,44656,0,0,2021-01-18,AR,8941,5188863,28298,4076676,37239,9265539
194,2021-01-18,AR,477,271625,0,84,44656,0,0,2021-01-18,AR,41165,4539103,16980,3586738,58145,8125841
195,2021-01-18,AR,477,271625,0,84,44656,0,0,2021-01-18,AR,4976,4166116,28539,2912712,33515,7078828
196,2021-01-18,AR,477,271625,0,84,44656,0,0,2021-01-18,AR,14791,3905617,46561,1657862,61352,5563479
197,2021-01-18,AR,477,271625,0,84,44656,0,0,2021-01-18,AR,18693,3201838,5141,785026,23834,3986864
198,2021-01-18,AR,477,271625,0,84,44656,0,0,2021-01-18,AR,50487,2074010,6549,539661,57036,2613671
199,2021-01-18,AR,477,271625,0,84,44656,0,0,2021-01-18,AR,21878,1223125,6000,321429,27878,1544554
200,2021-01-18,AR,477,271625,0,84,44656,0,0,2021-01-18,AR,2852,825176,11,117723,2863,942899
201,2021-01-18,AR,477,271625,0,84,44656,0,0,2021-01-18,AR,13269,352011,5982,81490,19251,433501
202,2021-01-18,AR,477,271625,0,84,44656,0,0,2021-01-18,AR,7236,63150,1527,36847,8763,99997
203,2021-01-18,AR,477,271625,0,84,44656,0,0,2021-01-18,AR,1438,33324,2,11,1440,33335
204,2021-01-25,AR,597,275075,0,133,45353,0,0,2021-01-25,AR,14,5417730,20,4620229,34,10037959
205,2021-01-25,AR,597,275075,0,133,45353,0,0,2021-01-25,AR,7934,5235712,23376,4211100,31310,9446812
206,2021-01-25,AR,597,275075,0,133,45353,0,0,2021-01-25,AR,35599,4788104,16951,3678984,52550,8467088
207,2021-01-25,AR,597,275075,0,133,45353,0,0,2021-01-25,AR,4305,4228084,13224,3111016,17529,7339100
208,2021-01-25,AR,597,275075,0,133,45353,0,0,2021-01-25,AR,10450,3993690,49431,1938994,59881,5932684
209,2021-01-25,AR,597,275075,0,133,45353,0,0,2021-01-25,AR,17699,3465428,1261,869925,18960,4335353
210,2021-01-25,AR,597,275075,0,133,45353,0,0,2021-01-25,AR,42912,2292365,9505,571165,52417,2863530
211,2021-01-25,AR,597,275075,0,133,45353,0,0,2021-01-25,AR,5603,1302222,3597,361116,9200,1663338
212,2021-01-25,AR,597,275075,0,133,45353,0,0,2021-01-25,AR,6850,943069,27,127641,6877,1070710
213,2021-01-25,AR,597,275075,0,133,45353,0,0,2021-01-25,AR,13022,415081,2280,94595,15302,509676
214,2021-01-25,AR,597,275075,0,133,45353,0,0,2021-01-25,AR,9295,121099,1520,41201,10815,162300
215,2021-01-25,AR,597,275075,0,133,45353,0,0,2021-01-25,AR,1059,37972,1032,5974,2091,43946
216,2021-01-18,AR,796,292505,0,177,48938,0,0,2021-01-18,AR,3064,5389375,7814,4559723,10878,9949098
217,2021-01-18,AR,796,292505,0,177,48938,0,0,2021-01-18,AR,8941,5188863,28298,4076676,37239,9265539
218,2021-01-18,AR,796,292505,0,177,48938,0,0,2021-01-18,AR,41165,4539103,16980,3586738,58145,8125841
219,2021-01-18,AR,796,292505,0,177,48938,0,0,2021-01-18,AR,4976,4166116,28539,2912712,33515,7078828
220,2021-01-18,AR,796,292505,0,177,48938,0,0,2021-01-18,AR,14791,3905617,46561,1657862,61352,5563479
221,2021-01-18,AR,796,292505,0,177,48938,0,0,2021-01-18,AR,18693,3201838,5141,785026,23834,3986864
222,2021-01-18,AR,796,292505,0,177,48938,0,0,2021-01-18,AR,50487,2074010,6549,539661,57036,2613671
223,2021-01-18,AR,796,292505,0,177,48938,0,0,2021-01-18,AR,21878,1223125,6000,321429,27878,1544554
